Iteration 200/100000: loss: 2.8862, pearson: 0.0001, zero:1.00%
Iteration 400/100000: loss: 2.4545, pearson: 0.0002, zero:1.00%
Iteration 600/100000: loss: 2.4298, pearson: 0.0002, zero:1.00%
Iteration 800/100000: loss: 2.5728, pearson: 0.0003, zero:1.00%
Iteration 1000/100000: loss: 2.5259, pearson: 0.0004, zero:1.00%
Iteration 1200/100000: loss: 2.4816, pearson: 0.0004, zero:1.00%
Iteration 1400/100000: loss: 2.5581, pearson: 0.0004, zero:1.00%
Iteration 1600/100000: loss: 2.7430, pearson: 0.0004, zero:1.00%
Iteration 1800/100000: loss: 2.7123, pearson: 0.0004, zero:1.00%
Iteration 2000/100000: loss: 2.6234, pearson: 0.0005, zero:1.00%
Iteration 2200/100000: loss: 2.4787, pearson: 0.0005, zero:1.00%
Iteration 2400/100000: loss: 2.4948, pearson: 0.0005, zero:1.00%
Iteration 2600/100000: loss: 2.7039, pearson: 0.0006, zero:1.00%
Iteration 2800/100000: loss: 2.7698, pearson: 0.0006, zero:1.00%
Iteration 3000/100000: loss: 2.5983, pearson: 0.0007, zero:1.00%
Iteration 3200/100000: loss: 2.3338, pearson: 0.0008, zero:1.00%
Iteration 3400/100000: loss: 2.5096, pearson: 0.0008, zero:1.00%
Iteration 3600/100000: loss: 2.5771, pearson: 0.0009, zero:1.00%
Iteration 3800/100000: loss: 2.6401, pearson: 0.0009, zero:1.00%
Iteration 4000/100000: loss: 2.6454, pearson: 0.0009, zero:1.00%
Iteration 4200/100000: loss: 2.7016, pearson: 0.0010, zero:1.00%
Iteration 4400/100000: loss: 2.4929, pearson: 0.0010, zero:1.00%
Iteration 4600/100000: loss: 2.8711, pearson: 0.0011, zero:1.00%
Iteration 4800/100000: loss: 2.4852, pearson: 0.0011, zero:1.00%
Iteration 5000/100000: loss: 2.6277, pearson: 0.0011, zero:1.00%
Iteration 5200/100000: loss: 2.7578, pearson: 0.0012, zero:1.00%
Iteration 5400/100000: loss: 2.4518, pearson: 0.0013, zero:1.00%
Iteration 5600/100000: loss: 2.8173, pearson: 0.0013, zero:1.00%
Iteration 5800/100000: loss: 2.8619, pearson: 0.0013, zero:1.00%
Iteration 6000/100000: loss: 2.5723, pearson: 0.0013, zero:1.00%
Iteration 6200/100000: loss: 2.8295, pearson: 0.0014, zero:1.00%
Iteration 6400/100000: loss: 2.7835, pearson: 0.0013, zero:1.00%
Iteration 6600/100000: loss: 2.4948, pearson: 0.0013, zero:1.00%
Iteration 6800/100000: loss: 2.4450, pearson: 0.0014, zero:1.00%
Iteration 7000/100000: loss: 2.6533, pearson: 0.0014, zero:1.00%
Iteration 7200/100000: loss: 2.3984, pearson: 0.0015, zero:1.00%
Iteration 7400/100000: loss: 2.6977, pearson: 0.0015, zero:1.00%
Iteration 7600/100000: loss: 2.6434, pearson: 0.0016, zero:1.00%
Iteration 7800/100000: loss: 2.3432, pearson: 0.0017, zero:1.00%
Iteration 8000/100000: loss: 2.7183, pearson: 0.0017, zero:1.00%
Iteration 8200/100000: loss: 2.8267, pearson: 0.0017, zero:1.00%
Iteration 8400/100000: loss: 2.3614, pearson: 0.0018, zero:1.00%
Iteration 8600/100000: loss: 2.5799, pearson: 0.0018, zero:1.00%
Iteration 8800/100000: loss: 2.4125, pearson: 0.0019, zero:1.00%
Iteration 9000/100000: loss: 2.2112, pearson: 0.0019, zero:1.00%
Iteration 9200/100000: loss: 2.4768, pearson: 0.0019, zero:1.00%
Iteration 9400/100000: loss: 2.5384, pearson: 0.0020, zero:1.00%
Iteration 9600/100000: loss: 2.8431, pearson: 0.0020, zero:1.00%
Iteration 9800/100000: loss: 2.5116, pearson: 0.0021, zero:1.00%
Iteration 10000/100000: loss: 2.6990, pearson: 0.0021, zero:1.00%
Iteration 10200/100000: loss: 2.6661, pearson: 0.0021, zero:1.00%
Iteration 10400/100000: loss: 2.6264, pearson: 0.0022, zero:1.00%
Iteration 10600/100000: loss: 2.5406, pearson: 0.0023, zero:1.00%
Iteration 10800/100000: loss: 2.8012, pearson: 0.0023, zero:1.00%
Iteration 11000/100000: loss: 2.5782, pearson: 0.0024, zero:1.00%
Iteration 11200/100000: loss: 2.4887, pearson: 0.0024, zero:1.00%
Iteration 11400/100000: loss: 2.2751, pearson: 0.0024, zero:1.00%
Iteration 11600/100000: loss: 3.0221, pearson: 0.0024, zero:1.00%
Iteration 11800/100000: loss: 2.4612, pearson: 0.0025, zero:1.00%
Iteration 12000/100000: loss: 2.4167, pearson: 0.0025, zero:1.00%
Iteration 12200/100000: loss: 2.6341, pearson: 0.0026, zero:1.00%
Iteration 12400/100000: loss: 2.5605, pearson: 0.0026, zero:1.00%
Iteration 12600/100000: loss: 2.5272, pearson: 0.0026, zero:1.00%
Iteration 12800/100000: loss: 2.6062, pearson: 0.0027, zero:1.00%
Iteration 13000/100000: loss: 2.5566, pearson: 0.0028, zero:1.00%
Iteration 13200/100000: loss: 2.8733, pearson: 0.0028, zero:1.00%
Iteration 13400/100000: loss: 2.6278, pearson: 0.0028, zero:1.00%
Iteration 13600/100000: loss: 2.6045, pearson: 0.0028, zero:1.00%
Iteration 13800/100000: loss: 2.4622, pearson: 0.0029, zero:1.00%
