Iteration 100/100000: loss: 0.4113, pearson: 0.0745
Iteration 200/100000: loss: 0.3893, pearson: 0.1401
Iteration 300/100000: loss: 0.4416, pearson: 0.1938
Iteration 400/100000: loss: 0.4331, pearson: 0.2375
Iteration 500/100000: loss: 0.4025, pearson: 0.2725
Iteration 600/100000: loss: 0.4271, pearson: 0.3047
Iteration 700/100000: loss: 0.4342, pearson: 0.3305
Iteration 800/100000: loss: 0.4165, pearson: 0.3538
Iteration 900/100000: loss: 0.4330, pearson: 0.3748
Iteration 1000/100000: loss: 0.4240, pearson: 0.3916
Iteration 1100/100000: loss: 0.4120, pearson: 0.4067
Iteration 1200/100000: loss: 0.4232, pearson: 0.4208
Iteration 1300/100000: loss: 0.4082, pearson: 0.4334
Iteration 1400/100000: loss: 0.4056, pearson: 0.4434
Iteration 1500/100000: loss: 0.4263, pearson: 0.4522
Iteration 1600/100000: loss: 0.3712, pearson: 0.4599
Iteration 1700/100000: loss: 0.3812, pearson: 0.4670
Iteration 1800/100000: loss: 0.4006, pearson: 0.4739
Iteration 1900/100000: loss: 0.4007, pearson: 0.4803
Iteration 2000/100000: loss: 0.4009, pearson: 0.4861
Iteration 2100/100000: loss: 0.4047, pearson: 0.4910
Iteration 2200/100000: loss: 0.3560, pearson: 0.4957
Iteration 2300/100000: loss: 0.3948, pearson: 0.5004
Iteration 2400/100000: loss: 0.3849, pearson: 0.5052
Iteration 2500/100000: loss: 0.4280, pearson: 0.5100
Iteration 2600/100000: loss: 0.3798, pearson: 0.5136
Iteration 2700/100000: loss: 0.4217, pearson: 0.5169
Iteration 2800/100000: loss: 0.3411, pearson: 0.5207
Iteration 2900/100000: loss: 0.3949, pearson: 0.5235
Iteration 3000/100000: loss: 0.3707, pearson: 0.5262
Iteration 3100/100000: loss: 0.3672, pearson: 0.5291
Iteration 3200/100000: loss: 0.4132, pearson: 0.5315
Iteration 3300/100000: loss: 0.3459, pearson: 0.5338
Iteration 3400/100000: loss: 0.3779, pearson: 0.5361
Iteration 3500/100000: loss: 0.3673, pearson: 0.5383
Iteration 3600/100000: loss: 0.3424, pearson: 0.5401
Iteration 3700/100000: loss: 0.3446, pearson: 0.5420
Iteration 3800/100000: loss: 0.3664, pearson: 0.5437
Iteration 3900/100000: loss: 0.3442, pearson: 0.5454
Iteration 4000/100000: loss: 0.3835, pearson: 0.5469
Iteration 4100/100000: loss: 0.4067, pearson: 0.5484
Iteration 4200/100000: loss: 0.3498, pearson: 0.5501
Iteration 4300/100000: loss: 0.3430, pearson: 0.5520
Iteration 4400/100000: loss: 0.3669, pearson: 0.5538
Iteration 4500/100000: loss: 0.3662, pearson: 0.5553
Iteration 4600/100000: loss: 0.3886, pearson: 0.5566
Iteration 4700/100000: loss: 0.3234, pearson: 0.5581
Iteration 4800/100000: loss: 0.3380, pearson: 0.5595
Iteration 4900/100000: loss: 0.3443, pearson: 0.5605
Iteration 5000/100000: loss: 0.3266, pearson: 0.5620
Iteration 5100/100000: loss: 0.3198, pearson: 0.5632
Iteration 5200/100000: loss: 0.4126, pearson: 0.5645
Iteration 5300/100000: loss: 0.3460, pearson: 0.5654
Iteration 5400/100000: loss: 0.3028, pearson: 0.5664
