Iteration 100/100000: loss: 1.6763, pearson: 0.0024
Iteration 200/100000: loss: 1.5192, pearson: 0.0058
Iteration 300/100000: loss: 1.5436, pearson: 0.0089
Iteration 400/100000: loss: 1.6119, pearson: 0.0125
Iteration 500/100000: loss: 1.5970, pearson: 0.0163
Iteration 600/100000: loss: 1.3980, pearson: 0.0201
Iteration 700/100000: loss: 1.6408, pearson: 0.0242
Iteration 800/100000: loss: 1.5885, pearson: 0.0282
Iteration 900/100000: loss: 1.6675, pearson: 0.0310
Iteration 1000/100000: loss: 1.5808, pearson: 0.0348
Iteration 1100/100000: loss: 1.5698, pearson: 0.0379
Iteration 1200/100000: loss: 1.2021, pearson: 0.0414
Iteration 1300/100000: loss: 1.5987, pearson: 0.0451
Iteration 1400/100000: loss: 1.5278, pearson: 0.0496
Iteration 1500/100000: loss: 1.3360, pearson: 0.0540
Iteration 1600/100000: loss: 1.5171, pearson: 0.0581
Iteration 1700/100000: loss: 1.5837, pearson: 0.0621
Iteration 1800/100000: loss: 1.5499, pearson: 0.0651
Iteration 1900/100000: loss: 1.4333, pearson: 0.0685
Iteration 2000/100000: loss: 1.5024, pearson: 0.0724
Iteration 2100/100000: loss: 1.3020, pearson: 0.0769
Iteration 2200/100000: loss: 1.5546, pearson: 0.0802
Iteration 2300/100000: loss: 1.4358, pearson: 0.0837
Iteration 2400/100000: loss: 1.3601, pearson: 0.0872
Iteration 2500/100000: loss: 1.2834, pearson: 0.0923
Iteration 2600/100000: loss: 1.4170, pearson: 0.0954
Iteration 2700/100000: loss: 1.3096, pearson: 0.0987
Iteration 2800/100000: loss: 1.3836, pearson: 0.1022
Iteration 2900/100000: loss: 1.2743, pearson: 0.1061
Iteration 3000/100000: loss: 1.3127, pearson: 0.1103
Iteration 3100/100000: loss: 1.4137, pearson: 0.1134
Iteration 3200/100000: loss: 1.3307, pearson: 0.1161
Iteration 3300/100000: loss: 1.4550, pearson: 0.1200
Iteration 3400/100000: loss: 1.3796, pearson: 0.1236
Iteration 3500/100000: loss: 1.3513, pearson: 0.1271
Iteration 3600/100000: loss: 1.2767, pearson: 0.1295
Iteration 3700/100000: loss: 1.3555, pearson: 0.1335
Iteration 3800/100000: loss: 1.3266, pearson: 0.1371
Iteration 3900/100000: loss: 1.3222, pearson: 0.1402
Iteration 4000/100000: loss: 1.3256, pearson: 0.1432
Iteration 4100/100000: loss: 1.2955, pearson: 0.1471
Iteration 4200/100000: loss: 1.3355, pearson: 0.1499
Iteration 4300/100000: loss: 1.2015, pearson: 0.1545
Iteration 4400/100000: loss: 1.2365, pearson: 0.1579
Iteration 4500/100000: loss: 1.1838, pearson: 0.1618
Iteration 4600/100000: loss: 1.1684, pearson: 0.1660
Iteration 4700/100000: loss: 1.2237, pearson: 0.1696
Iteration 4800/100000: loss: 1.1551, pearson: 0.1737
Iteration 4900/100000: loss: 1.0273, pearson: 0.1773
Iteration 5000/100000: loss: 1.2283, pearson: 0.1801
Iteration 5100/100000: loss: 1.2780, pearson: 0.1838
Iteration 5200/100000: loss: 1.1033, pearson: 0.1870
Iteration 5300/100000: loss: 1.2337, pearson: 0.1906
Iteration 5400/100000: loss: 1.2361, pearson: 0.1939
Iteration 5500/100000: loss: 1.2793, pearson: 0.1984
Iteration 5600/100000: loss: 1.1416, pearson: 0.2030
Iteration 5700/100000: loss: 1.2811, pearson: 0.2067
Iteration 5800/100000: loss: 1.2199, pearson: 0.2099
Iteration 5900/100000: loss: 1.1795, pearson: 0.2133
Iteration 6000/100000: loss: 1.1741, pearson: 0.2166
Iteration 6100/100000: loss: 1.1638, pearson: 0.2203
