Iteration 200/100000: loss: 0.5111, pearson: 0.6836
Iteration 400/100000: loss: 0.4910, pearson: 0.7211
Iteration 600/100000: loss: 0.4459, pearson: 0.7014
Iteration 800/100000: loss: 0.5218, pearson: 0.7034
Iteration 1000/100000: loss: 0.5201, pearson: 0.6663
Iteration 1200/100000: loss: 0.5054, pearson: 0.7339
Iteration 1400/100000: loss: 0.5156, pearson: 0.7609
Iteration 1600/100000: loss: 0.4890, pearson: 0.7713
Iteration 1800/100000: loss: 0.4466, pearson: 0.7506
Iteration 2000/100000: loss: 0.5286, pearson: 0.7508
Iteration 2200/100000: loss: 0.5059, pearson: 0.7635
Iteration 2400/100000: loss: 0.5124, pearson: 0.7650
Iteration 2600/100000: loss: 0.4530, pearson: 0.7609
Iteration 2800/100000: loss: 0.4861, pearson: 0.7625
Iteration 3000/100000: loss: 0.4623, pearson: 0.7669
Iteration 3200/100000: loss: 0.5501, pearson: 0.7694
Iteration 3400/100000: loss: 0.5129, pearson: 0.7796
Iteration 3600/100000: loss: 0.4810, pearson: 0.7698
Iteration 3800/100000: loss: 0.4386, pearson: 0.7654
Iteration 4000/100000: loss: 0.5075, pearson: 0.7864
Iteration 4200/100000: loss: 0.4969, pearson: 0.7775
Iteration 4400/100000: loss: 0.4869, pearson: 0.7761
Iteration 4600/100000: loss: 0.4731, pearson: 0.7764
Iteration 4800/100000: loss: 0.5154, pearson: 0.7724
Iteration 5000/100000: loss: 0.4727, pearson: 0.7706
Iteration 5200/100000: loss: 0.4658, pearson: 0.7723
Iteration 5400/100000: loss: 0.4891, pearson: 0.7730
Iteration 5600/100000: loss: 0.5209, pearson: 0.7685
Iteration 5800/100000: loss: 0.3824, pearson: 0.7696
Iteration 6000/100000: loss: 0.5085, pearson: 0.7787
Iteration 6200/100000: loss: 0.4530, pearson: 0.7657
Iteration 6400/100000: loss: 0.4997, pearson: 0.7566
Iteration 6600/100000: loss: 0.4939, pearson: 0.7576
Iteration 6800/100000: loss: 0.5258, pearson: 0.7687
Iteration 7000/100000: loss: 0.5235, pearson: 0.7713
Iteration 7200/100000: loss: 0.5088, pearson: 0.7627
Iteration 7400/100000: loss: 0.4837, pearson: 0.7682
Iteration 7600/100000: loss: 0.5485, pearson: 0.7647
Iteration 7800/100000: loss: 0.4974, pearson: 0.7668
Iteration 8000/100000: loss: 0.4548, pearson: 0.7592
Iteration 8200/100000: loss: 0.4759, pearson: 0.7558
Iteration 8400/100000: loss: 0.4035, pearson: 0.7638
Iteration 8600/100000: loss: 0.4457, pearson: 0.7789
Iteration 8800/100000: loss: 0.4949, pearson: 0.7681
