Iteration 100/1000000: loss: 0.4862, pearson: 0.0811
Iteration 200/1000000: loss: 0.4422, pearson: 0.1511
Iteration 300/1000000: loss: 0.4280, pearson: 0.2091
Iteration 400/1000000: loss: 0.4424, pearson: 0.2566
Iteration 500/1000000: loss: 0.4165, pearson: 0.2980
Iteration 600/1000000: loss: 0.4849, pearson: 0.3325
Iteration 700/1000000: loss: 0.4593, pearson: 0.3597
Iteration 800/1000000: loss: 0.4609, pearson: 0.3822
Iteration 900/1000000: loss: 0.4525, pearson: 0.4033
Iteration 1000/1000000: loss: 0.4464, pearson: 0.4219
Iteration 1100/1000000: loss: 0.4300, pearson: 0.4375
Iteration 1200/1000000: loss: 0.4219, pearson: 0.4512
Iteration 1300/1000000: loss: 0.4064, pearson: 0.4624
Iteration 1400/1000000: loss: 0.4692, pearson: 0.4733
Iteration 1500/1000000: loss: 0.4435, pearson: 0.4825
Iteration 1600/1000000: loss: 0.3924, pearson: 0.4908
Iteration 1700/1000000: loss: 0.4400, pearson: 0.4990
Iteration 1800/1000000: loss: 0.4550, pearson: 0.5061
Iteration 1900/1000000: loss: 0.3933, pearson: 0.5129
Iteration 2000/1000000: loss: 0.4328, pearson: 0.5187
Iteration 2100/1000000: loss: 0.3895, pearson: 0.5239
Iteration 2200/1000000: loss: 0.4734, pearson: 0.5292
Iteration 2300/1000000: loss: 0.4258, pearson: 0.5341
Iteration 2400/1000000: loss: 0.4510, pearson: 0.5385
Iteration 2500/1000000: loss: 0.4149, pearson: 0.5425
Iteration 2600/1000000: loss: 0.4151, pearson: 0.5462
Iteration 2700/1000000: loss: 0.3946, pearson: 0.5502
Iteration 2800/1000000: loss: 0.4163, pearson: 0.5538
Iteration 2900/1000000: loss: 0.3653, pearson: 0.5572
Iteration 3000/1000000: loss: 0.4548, pearson: 0.5603
Iteration 3100/1000000: loss: 0.4315, pearson: 0.5633
Iteration 3200/1000000: loss: 0.3970, pearson: 0.5660
Iteration 3300/1000000: loss: 0.4141, pearson: 0.5687
Iteration 3400/1000000: loss: 0.3981, pearson: 0.5712
Iteration 3500/1000000: loss: 0.3827, pearson: 0.5737
Iteration 3600/1000000: loss: 0.3851, pearson: 0.5758
Iteration 3700/1000000: loss: 0.4015, pearson: 0.5782
Iteration 3800/1000000: loss: 0.3903, pearson: 0.5802
Iteration 3900/1000000: loss: 0.4060, pearson: 0.5823
Iteration 4000/1000000: loss: 0.3924, pearson: 0.5842
Iteration 4100/1000000: loss: 0.3988, pearson: 0.5859
Iteration 4200/1000000: loss: 0.4016, pearson: 0.5877
Iteration 4300/1000000: loss: 0.3817, pearson: 0.5896
Iteration 4400/1000000: loss: 0.3537, pearson: 0.5914
Iteration 4500/1000000: loss: 0.3790, pearson: 0.5932
Iteration 4600/1000000: loss: 0.3965, pearson: 0.5949
Iteration 4700/1000000: loss: 0.3994, pearson: 0.5962
Iteration 4800/1000000: loss: 0.3628, pearson: 0.5974
Iteration 4900/1000000: loss: 0.3752, pearson: 0.5986
Iteration 5000/1000000: loss: 0.4481, pearson: 0.6001
Iteration 5100/1000000: loss: 0.3344, pearson: 0.6016
Iteration 5200/1000000: loss: 0.3931, pearson: 0.6028
Iteration 5300/1000000: loss: 0.3941, pearson: 0.6040
Iteration 5400/1000000: loss: 0.3249, pearson: 0.6051
Iteration 5500/1000000: loss: 0.3924, pearson: 0.6063
Iteration 5600/1000000: loss: 0.3724, pearson: 0.6074
Iteration 5700/1000000: loss: 0.3718, pearson: 0.6084
Iteration 5800/1000000: loss: 0.3813, pearson: 0.6093
Iteration 5900/1000000: loss: 0.3423, pearson: 0.6105
Iteration 6000/1000000: loss: 0.4041, pearson: 0.6116
Iteration 6100/1000000: loss: 0.3637, pearson: 0.6125
Iteration 6200/1000000: loss: 0.3722, pearson: 0.6134
Iteration 6300/1000000: loss: 0.3678, pearson: 0.6143
Iteration 6400/1000000: loss: 0.3553, pearson: 0.6153
Iteration 6500/1000000: loss: 0.3805, pearson: 0.6162
Iteration 6600/1000000: loss: 0.3322, pearson: 0.6171
Iteration 6700/1000000: loss: 0.3921, pearson: 0.6180
Iteration 6800/1000000: loss: 0.3435, pearson: 0.6190
Iteration 6900/1000000: loss: 0.2972, pearson: 0.6201
Iteration 7000/1000000: loss: 0.3881, pearson: 0.6209
Iteration 7100/1000000: loss: 0.3255, pearson: 0.6217
Iteration 7200/1000000: loss: 0.3533, pearson: 0.6226
Iteration 7300/1000000: loss: 0.3531, pearson: 0.6235
Iteration 7400/1000000: loss: 0.3657, pearson: 0.6244
Iteration 7500/1000000: loss: 0.3323, pearson: 0.6251
Iteration 7600/1000000: loss: 0.3850, pearson: 0.6258
Iteration 7700/1000000: loss: 0.3520, pearson: 0.6266
Iteration 7800/1000000: loss: 0.3528, pearson: 0.6275
Iteration 7900/1000000: loss: 0.3854, pearson: 0.6283
Iteration 8000/1000000: loss: 0.3634, pearson: 0.6291
Iteration 8100/1000000: loss: 0.3911, pearson: 0.6298
Iteration 8200/1000000: loss: 0.3478, pearson: 0.6305
Iteration 8300/1000000: loss: 0.3495, pearson: 0.6313
Iteration 8400/1000000: loss: 0.3671, pearson: 0.6320
Iteration 8500/1000000: loss: 0.3379, pearson: 0.6327
Iteration 8600/1000000: loss: 0.3608, pearson: 0.6334
Iteration 8700/1000000: loss: 0.3389, pearson: 0.6340
Iteration 8800/1000000: loss: 0.3802, pearson: 0.6347
Iteration 8900/1000000: loss: 0.3231, pearson: 0.6354
Iteration 9000/1000000: loss: 0.3195, pearson: 0.6360
Iteration 9100/1000000: loss: 0.3017, pearson: 0.6367
Iteration 9200/1000000: loss: 0.3598, pearson: 0.6373
Iteration 9300/1000000: loss: 0.2824, pearson: 0.6379
Iteration 9400/1000000: loss: 0.3592, pearson: 0.6385
Iteration 9500/1000000: loss: 0.2933, pearson: 0.6391
Iteration 9600/1000000: loss: 0.3228, pearson: 0.6397
Iteration 9700/1000000: loss: 0.2920, pearson: 0.6404
Iteration 9800/1000000: loss: 0.3441, pearson: 0.6410
Iteration 9900/1000000: loss: 0.3542, pearson: 0.6415
