// batch size: 8000
// other hyperparameters are all default

Iteration 100/1000000: loss: 0.3966, pearson: 0.055318
Iteration 200/1000000: loss: 0.4132, pearson: 0.098216
Iteration 300/1000000: loss: 0.3621, pearson: 0.131548
Iteration 400/1000000: loss: 0.3935, pearson: 0.160789
Iteration 500/1000000: loss: 0.3907, pearson: 0.183908
Iteration 600/1000000: loss: 0.4070, pearson: 0.200705
Iteration 700/1000000: loss: 0.3948, pearson: 0.213922
Iteration 800/1000000: loss: 0.3326, pearson: 0.224675
Iteration 900/1000000: loss: 0.4000, pearson: 0.235110
Iteration 1000/1000000: loss: 0.3943, pearson: 0.241312
Iteration 1100/1000000: loss: 0.3681, pearson: 0.248698
Iteration 1200/1000000: loss: 0.3739, pearson: 0.255323
Iteration 1300/1000000: loss: 0.3586, pearson: 0.259400
Iteration 1400/1000000: loss: 0.3693, pearson: 0.264240
Iteration 1500/1000000: loss: 0.4292, pearson: 0.267631
Iteration 1600/1000000: loss: 0.4014, pearson: 0.270955
Iteration 1700/1000000: loss: 0.3750, pearson: 0.274550
Iteration 1800/1000000: loss: 0.3388, pearson: 0.277379
Iteration 1900/1000000: loss: 0.3874, pearson: 0.279238
Iteration 2000/1000000: loss: 0.3729, pearson: 0.281691
Iteration 2100/1000000: loss: 0.3343, pearson: 0.283713
Iteration 2200/1000000: loss: 0.3255, pearson: 0.285573
Iteration 2300/1000000: loss: 0.3534, pearson: 0.287007
Iteration 2400/1000000: loss: 0.3200, pearson: 0.288672
Iteration 2500/1000000: loss: 0.3377, pearson: 0.289591
Iteration 2600/1000000: loss: 0.3160, pearson: 0.290620
Iteration 2700/1000000: loss: 0.3339, pearson: 0.291932
Iteration 2800/1000000: loss: 0.3635, pearson: 0.292450
Iteration 2900/1000000: loss: 0.3390, pearson: 0.293353
Iteration 3000/1000000: loss: 0.3700, pearson: 0.293598
Iteration 3100/1000000: loss: 0.3271, pearson: 0.294430
Iteration 3200/1000000: loss: 0.3617, pearson: 0.295888
Iteration 3300/1000000: loss: 0.3188, pearson: 0.296350
Iteration 3400/1000000: loss: 0.2997, pearson: 0.297085
Iteration 3500/1000000: loss: 0.3135, pearson: 0.298146
Iteration 3600/1000000: loss: 0.3057, pearson: 0.299138
Iteration 3700/1000000: loss: 0.3339, pearson: 0.300113
Iteration 3800/1000000: loss: 0.3494, pearson: 0.300650
Iteration 3900/1000000: loss: 0.3243, pearson: 0.301170
Iteration 4000/1000000: loss: 0.3759, pearson: 0.301770
Iteration 4100/1000000: loss: 0.3011, pearson: 0.302273
Iteration 4200/1000000: loss: 0.2819, pearson: 0.302699
Iteration 4300/1000000: loss: 0.3136, pearson: 0.303400
Iteration 4400/1000000: loss: 0.2557, pearson: 0.303901
Iteration 4500/1000000: loss: 0.2981, pearson: 0.304194
Iteration 4600/1000000: loss: 0.2507, pearson: 0.304687
Iteration 4700/1000000: loss: 0.2992, pearson: 0.305284
Iteration 4800/1000000: loss: 0.2890, pearson: 0.305522
Iteration 4900/1000000: loss: 0.3141, pearson: 0.305908
Iteration 5000/1000000: loss: 0.2992, pearson: 0.306236
Iteration 5100/1000000: loss: 0.3455, pearson: 0.306705
Iteration 5200/1000000: loss: 0.2739, pearson: 0.306855
Iteration 5300/1000000: loss: 0.2878, pearson: 0.307291
Iteration 5400/1000000: loss: 0.2896, pearson: 0.307553
Iteration 5500/1000000: loss: 0.2452, pearson: 0.307919
Iteration 5600/1000000: loss: 0.2688, pearson: 0.308299
Iteration 5700/1000000: loss: 0.2779, pearson: 0.308427
Iteration 5800/1000000: loss: 0.2894, pearson: 0.308768
Iteration 5900/1000000: loss: 0.2640, pearson: 0.309301
Iteration 6000/1000000: loss: 0.2806, pearson: 0.309581
Iteration 6100/1000000: loss: 0.2666, pearson: 0.309736
Iteration 6200/1000000: loss: 0.2767, pearson: 0.309803
Iteration 6300/1000000: loss: 0.2703, pearson: 0.309951
Iteration 6400/1000000: loss: 0.2502, pearson: 0.310021
Iteration 6500/1000000: loss: 0.2935, pearson: 0.310157
Iteration 6600/1000000: loss: 0.2684, pearson: 0.310401
Iteration 6700/1000000: loss: 0.2995, pearson: 0.310452
Iteration 6800/1000000: loss: 0.2570, pearson: 0.310223
Iteration 6900/1000000: loss: 0.2741, pearson: 0.310252
Iteration 7000/1000000: loss: 0.2696, pearson: 0.309842
Iteration 7100/1000000: loss: 0.2935, pearson: 0.309515
Iteration 7200/1000000: loss: 0.2968, pearson: 0.309103
Iteration 7300/1000000: loss: 0.2600, pearson: 0.308780
Iteration 7400/1000000: loss: 0.2372, pearson: 0.308336
Iteration 7500/1000000: loss: 0.2373, pearson: 0.307894
Iteration 7600/1000000: loss: 0.2894, pearson: 0.307394
Iteration 7700/1000000: loss: 0.2692, pearson: 0.306836
Iteration 7800/1000000: loss: 0.2555, pearson: 0.306357
